Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Adalberto Mejia,Twins,4,3,4.41,6,31,0,60,60,30,9,53,21,1.35,7.86,3.19,4.5,0.4,0.4,599.5,13188
Jake Fishman,Blue Jays,0,0,4.39,0,1,0,1,1,0,0,1,0,1.39,7.74,3.51,4.5,0,0,999,sa918699
Corbin Burnes,Brewers,2,2,4.54,13,0,0,1,1,1,0,1,0,1.41,8.14,3.64,4.5,0,0,303.1,19361
Josh Taylor,Red Sox,1,0,4.32,0,10,0,10,10,5,1,8,4,1.44,7.52,4,4.5,0,0.1,999,sa842224
Logan Allen,Padres,2,2,4.28,13,0,0,1,1,0,0,1,0,1.4,8.19,4,4.5,0,0,559.3,sa875192
Ben Rowen,,0,0,4.49,0,1,0,1,1,0,0,1,0,1.41,6.3,2.98,4.5,0,0,999,10983
Miguel Almonte,Angels,0,0,4.25,0,1,0,1,1,0,0,1,0,1.4,8.41,4.19,4.5,0,0,999,14139
Stephen Perakslis,,0,0,4.43,0,1,0,1,1,0,0,1,0,1.37,7.47,3.24,4.5,0,0,999,sa621679
Joe Thatcher,,0,0,4.37,0,1,0,1,1,0,0,1,0,1.41,8.49,4.01,4.5,0,0,999,4620
Dane Dunning,White Sox,1,1,4.46,6,0,0,1,1,0,0,1,0,1.39,7.91,3.48,4.51,0,0,598.4,sa738926
Chris Nunn,,0,0,4.3,0,1,0,1,1,0,0,1,0,1.43,8.67,4.4,4.51,0,0,999,sa658577
Jeff Manship,,0,0,4.45,0,1,0,1,1,0,0,1,0,1.43,7.64,3.78,4.51,0,0,999,6865
Ben Griset,Mets,0,0,4.27,0,1,0,1,1,0,0,1,0,1.44,8.26,4.37,4.51,0,-0.1,999,sa550008
Chris Mazza,Nationals,0,0,4.46,0,1,0,1,1,0,0,1,0,1.42,6.49,3.17,4.51,0,0,999,sa599371
Tyler Bashlor,Mets,0,1,4.38,0,10,0,10,9,5,1,11,5,1.4,9.54,4.61,4.51,0,0,999,15203
C.J. Wilson,,0,0,4.44,0,0,0,1,1,0,0,1,0,1.4,7.55,3.41,4.51,0,0,999,3580
Jose Casilla,,0,0,4.47,0,1,0,1,1,0,0,1,0,1.44,7.32,3.72,4.51,0,0,999,sa456056
Brennan Bernardino,,0,0,4.31,0,1,0,1,1,0,0,1,0,1.44,8.2,4.25,4.51,0,0,999,sa829409
Ronald Pena,Nationals,0,0,4.37,0,10,0,10,10,5,1,9,5,1.46,8.39,4.51,4.51,0,0,999,sa658287
Chin-hui Tsao,,0,0,4.46,0,1,0,1,1,0,0,1,0,1.4,7.92,3.66,4.51,0,0,999,1776
Zac Gallen,Marlins,0,0,4.42,2,0,0,1,1,0,0,1,0,1.36,7.69,3.4,4.51,0,0,999,sa857550
Randy Rosario,Cubs,0,0,4.3,0,10,0,10,10,5,1,8,5,1.47,7.19,4.08,4.51,0,0,999,14508
Odrisamer Despaigne,Reds,0,0,4.53,0,1,0,1,1,1,0,1,0,1.41,7.55,3.36,4.51,0,0,999,16017
Cameron Gann,Diamondbacks,0,0,4.53,0,1,0,1,1,1,0,1,1,1.48,8.3,4.5,4.51,0,0,999,sa875845
Nolan Blackwood,Tigers,0,0,4.45,0,1,0,1,1,0,0,1,0,1.47,6.8,3.8,4.51,0,0,999,sa874212
Taylor Guerrieri,Athletics,0,0,4.44,0,1,0,1,1,0,0,1,0,1.43,6.53,3.42,4.52,0,0,999,13616
Jake Sanchez,Athletics,0,0,4.46,0,1,0,1,1,0,0,1,0,1.4,7.45,3.5,4.52,0,0,999,sa739743
Corey Baker,,0,0,4.42,0,1,0,1,1,0,0,1,0,1.4,7.56,3.53,4.52,0,0,999,sa598476
Angel Heredia,,0,0,4.51,0,0,0,1,1,1,0,1,0,1.43,8.26,4.01,4.52,0,0,999,sa507201
Austin Gomber,Cardinals,1,1,4.33,5,0,0,1,1,0,0,1,0,1.37,7.93,3.56,4.52,0,0,597.6,16561
Nick Vincent,,0,0,4.46,0,1,0,1,1,0,0,1,0,1.31,7.87,2.79,4.52,0,0,999,7555
David Huff,,0,0,4.46,0,0,0,1,1,0,0,1,0,1.37,7.05,2.81,4.52,0,0,999,4257
Miller Diaz,,0,0,4.42,0,1,0,1,1,0,0,1,0,1.47,8.03,4.39,4.52,0,0,999,sa504858
Colin Kleven,,0,0,4.46,0,1,0,1,1,0,0,1,0,1.44,7.62,3.85,4.52,0,0,999,sa502789
Rob Whalen,Mariners,0,0,4.48,0,1,0,1,1,0,0,1,0,1.37,7.51,3.19,4.52,0,-0.1,999,14165
Matt Foster,White Sox,0,0,4.42,0,1,0,1,1,0,0,1,0,1.41,8.62,4.02,4.52,0,0,999,sa738581
Hector Hernandez,,0,0,4.38,0,1,0,1,1,0,0,1,0,1.41,7.8,3.74,4.52,0,0,999,sa501640
Andy Beltre,,0,0,4.43,0,1,0,1,1,0,0,1,0,1.4,8.82,4.1,4.52,0,0,999,sa551335
Dereck Rodriguez,Giants,5,4,4.43,24,0,0,1,1,0,0,1,0,1.34,7.03,3.01,4.52,0,0,342.7,14509
Trevor Williams,Pirates,5,4,4.72,26,0,0,1,1,1,0,1,0,1.44,6.83,3.08,4.53,0,0,308.3,16977
Roenis Elias,Mariners,3,3,4.32,2,52,0,59,57,28,8,52,22,1.35,7.97,3.41,4.53,0.1,0.1,999,12673
Touki Toussaint,Braves,3,2,4.42,15,0,0,1,1,0,0,1,1,1.43,9.02,4.56,4.53,0,0,331.8,16929
Phillip Diehl,Yankees,0,0,4.27,0,1,0,1,1,0,0,1,0,1.37,9.11,4.01,4.53,0,0,999,sa918633
Andury Acevedo,Diamondbacks,0,0,4.54,0,1,0,1,1,1,0,1,1,1.49,8.09,4.52,4.53,0,0,999,sa395471
Colt Hynes,,0,0,4.41,0,1,0,1,1,0,0,1,0,1.39,6.92,3.08,4.53,0,0,999,7560
Alex Smith,,0,0,4.43,0,1,0,1,1,0,0,1,0,1.46,8.15,4.31,4.53,0,0,999,sa659361
Martin Agosta,Giants,0,0,4.49,0,0,0,1,1,0,0,1,0,1.4,7.24,3.54,4.53,0,0,999,sa657962
AJ Ramos,,2,2,4.43,0,50,0,50,46,25,7,50,25,1.42,9.04,4.46,4.53,0,0,999,8350
Hansel Robles,Angels,2,2,4.31,0,50,0,50,45,24,7,50,22,1.35,9.09,4.02,4.53,-0.1,0,999,11801
Gerardo Reyes,Padres,1,1,4.3,0,15,0,15,14,7,2,14,8,1.47,8.7,4.92,4.54,0,-0.1,999,sa829912
Ryan Garton,Mariners,0,0,4.42,0,1,0,1,1,0,0,1,0,1.45,8.29,4.29,4.54,0,-0.1,999,14016
Evan Beal,Marlins,0,0,4.41,0,1,0,1,1,0,0,1,0,1.45,7.92,4.34,4.54,0,-0.1,999,sa598103
Tanner Rainey,Nationals,1,1,4.31,0,20,0,20,17,10,2,24,14,1.53,10.58,6.16,4.54,-0.1,0,999,17610
Mitchell White,Dodgers,0,0,4.4,0,0,0,1,1,0,0,1,0,1.39,7.1,3.38,4.54,0,0,999,sa917948
Sam McWilliams,Royals,1,1,4.39,0,20,0,20,20,10,3,16,7,1.36,7.18,3.24,4.54,0,0.1,999,sa829124
Paul Paez,,0,0,4.36,0,1,0,1,1,0,0,1,0,1.41,8.11,3.93,4.54,0,0,999,sa658338
Erik Swanson,Mariners,3,3,4.46,8,18,0,56,55,28,9,51,18,1.3,8.1,2.84,4.54,0.4,0.3,999,sa829145
Kevin Munson,,0,0,4.48,0,1,0,1,1,0,0,1,0,1.43,8.72,4.31,4.54,0,0,999,sa526289
Scott Barlow,Royals,1,2,4.43,2,22,0,29,28,14,4,27,12,1.37,8.2,3.8,4.54,0.1,0.2,999,14993
Daniel Gossett,Athletics,0,0,4.54,0,0,0,1,1,1,0,1,0,1.39,7.18,3.25,4.54,0,0,999,16164
Gage Smith,,0,0,4.5,0,1,0,1,1,0,0,1,0,1.4,7.3,3.34,4.54,0,0,999,sa709581
Brian Flynn,Royals,2,2,4.42,0,40,0,40,42,20,5,30,17,1.46,6.65,3.74,4.54,-0.1,0.1,999,12027
Matt Shoemaker,Blue Jays,4,3,4.65,19,0,0,1,1,1,0,1,0,1.32,8.06,2.7,4.54,0,0,539.2,4776
Pierce Johnson,,1,1,4.39,0,25,0,25,23,12,3,25,13,1.43,8.98,4.57,4.54,0,0,999,13435
Nefi Ogando,,0,0,4.48,0,1,0,1,1,0,0,1,0,1.45,7.68,3.99,4.54,0,0,999,12253
Elvis Araujo,,0,0,4.39,0,1,0,1,1,0,0,1,0,1.43,8.28,4.15,4.55,0,0,999,12854
Jake Jewell,Angels,1,1,4.29,0,25,0,25,25,12,3,19,10,1.42,7.02,3.7,4.55,-0.1,0,999,16958
Eric Peterson,,0,0,4.51,0,1,0,1,1,1,0,1,0,1.36,7.87,3.26,4.55,0,0,999,sa829747
Jimmy Moran,,0,0,4.48,0,1,0,1,1,0,0,1,0,1.43,8.38,4.14,4.55,0,0,999,sa599716
Colby Blueberg,Padres,0,0,4.4,0,1,0,1,1,0,0,1,0,1.43,8.54,4.38,4.55,0,-0.1,999,sa830501
Daniel Schlereth,Mariners,0,0,4.28,0,1,0,1,1,0,0,1,1,1.49,8.1,4.73,4.55,0,-0.1,999,8739
Mitch Lively,Nationals,0,0,4.55,0,0,0,1,1,1,0,1,0,1.42,6.88,3.22,4.55,0,0,999,sa390254
Jason Wheeler,,0,0,4.32,0,1,0,1,1,0,0,1,0,1.31,7.37,2.8,4.55,0,0,999,13128
Yusei Kikuchi,Mariners,5,4,4.5,24,0,0,1,1,1,0,1,0,1.34,8.95,3.21,4.55,0,0,173,20633
Alex Muren,Twins,0,0,4.52,0,1,0,1,1,1,0,1,0,1.42,7.7,3.68,4.55,0,0,999,sa658181
Genesis Cabrera,Cardinals,0,0,4.28,0,10,0,10,9,5,1,10,5,1.4,8.77,4.31,4.55,0,0,999,sa828534
Jarlin Garcia,Marlins,2,3,4.37,0,50,0,50,51,24,7,39,18,1.39,7.09,3.32,4.55,-0.2,-0.2,999,18282
Patrick Murphy,Blue Jays,0,1,4.51,0,10,0,10,10,5,1,8,4,1.46,7.28,3.85,4.55,0,0,999,sa737629
Trey Supak,Brewers,1,1,4.46,0,20,0,20,19,10,3,19,8,1.36,8.41,3.46,4.55,0,-0.1,999,sa828707
J.T. Brubaker,Pirates,0,0,4.65,2,0,0,1,1,1,0,1,0,1.44,6.96,3.38,4.55,0,0,999,sa875176
Dustin Molleken,,0,0,4.46,0,1,0,1,1,0,0,1,0,1.43,8.64,4.26,4.55,0,0,999,6200
Rogelio Armenteros,Astros,0,0,4.54,2,0,0,1,1,1,0,1,0,1.37,8.87,3.75,4.55,0,0,600,sa877310
Brent Suter,Brewers,0,0,4.46,0,0,0,1,1,0,0,1,0,1.31,7.25,2.3,4.55,0,0,999,13942
Matt Dermody,Blue Jays,0,0,4.46,0,1,0,1,1,0,0,1,0,1.39,7.48,3.31,4.55,0,0,999,14844
Albert Suarez,,0,0,4.48,0,1,0,1,1,0,0,1,0,1.41,7.64,3.58,4.56,0,0,999,6175
Rob Rogers,,0,0,4.5,0,1,0,1,1,0,0,1,0,1.44,7.69,3.93,4.56,0,0,999,sa738615
Nolan Long,Dodgers,0,0,4.31,0,1,0,1,1,0,0,1,0,1.4,8.87,4.44,4.56,0,-0.1,999,sa659265
Matt Marsh,,0,0,4.47,0,1,0,1,1,0,0,1,0,1.4,8.39,3.9,4.56,0,0,999,sa830228
J.P. Howell,,0,0,4.4,0,1,0,1,1,0,0,1,0,1.47,6.62,3.7,4.56,0,0,999,8245
Eduard Santos,Athletics,0,0,4.44,0,1,0,1,1,0,0,1,1,1.48,8.58,4.83,4.56,0,0,999,sa505276
Charlie Furbush,,0,0,4.45,0,1,0,1,1,0,0,1,0,1.41,7.96,3.69,4.56,0,0,999,1370
Nathan Bates,Angels,0,0,4.33,0,1,0,1,1,0,0,1,0,1.43,7.99,4.2,4.56,0,0,999,sa875717
Bryan Garcia,Tigers,0,0,4.56,0,1,0,1,1,1,0,1,0,1.42,8.9,4.2,4.56,0,0,999,sa873996
Kieran Lovegrove,Giants,0,0,4.34,0,1,0,1,1,0,0,1,1,1.47,8.32,4.88,4.56,0,-0.1,999,sa657950
Zach Eflin,Phillies,5,4,4.59,26,0,0,1,1,1,0,1,0,1.32,7.95,2.63,4.56,0,0,352,13774
Cody Satterwhite,,0,0,4.52,0,1,0,1,1,1,0,1,0,1.41,8.01,3.77,4.56,0,0,999,sa454441
Luis Santos,Rays,0,0,4.38,0,1,0,1,1,0,0,1,0,1.33,8.44,3.44,4.56,0,0,999,15006
Antonio Senzatela,Rockies,6,5,4.8,29,0,0,1,1,1,0,1,0,1.44,7.44,3.3,4.56,0,0,599,15488
Victor Alcantara,Tigers,2,2,4.55,0,40,0,40,42,20,5,31,16,1.46,7.03,3.65,4.56,0,-0.1,600.6,15028
Joaquin Benoit,,2,2,4.49,0,40,0,40,38,20,6,38,17,1.38,8.53,3.84,4.56,-0.1,0,999,1437
Zack Jones,,0,0,4.41,0,1,0,1,1,0,0,1,1,1.49,9.65,5.37,4.56,0,0,999,sa502134
Griffin Canning,Angels,0,0,4.42,0,0,0,1,1,0,0,1,0,1.37,8.08,3.67,4.56,0,0,599.6,sa829807
Anthony Carter,Rangers,0,0,4.55,0,1,0,1,1,1,0,1,0,1.41,7.52,3.46,4.56,0,0,999,sa302341
Zack Littell,Twins,2,2,4.53,2,22,0,29,29,15,4,25,10,1.37,7.68,3.24,4.56,0.1,0.1,999,15823
Chris Bassitt,Athletics,5,5,4.55,11,36,0,89,90,45,12,72,33,1.38,7.27,3.32,4.56,0.4,0.4,600.9,12304
Jhon Romero,Nationals,0,0,4.45,0,1,0,1,1,0,0,1,0,1.42,8.5,4.17,4.56,0,0,999,sa885679
Josh Staumont,Royals,1,1,4.34,0,20,0,20,17,10,2,23,13,1.5,10.25,5.98,4.56,0,0.1,999,sa857581
Luke Leftwich,Phillies,0,0,4.51,0,1,0,1,1,1,0,1,0,1.38,8.98,3.82,4.56,0,0,999,sa857567
Mike Leake,Mariners,6,5,4.62,32,0,0,1,1,1,0,1,0,1.37,5.59,1.97,4.56,0,0,551.2,10130
Hoby Milner,Rays,0,0,4.29,0,1,0,1,1,0,0,1,0,1.4,7.96,3.86,4.57,0,0,999,13346
Ryan Doolittle,,0,0,4.51,0,1,0,1,1,1,0,1,0,1.42,7.61,3.64,4.57,0,0,999,sa454858
Francisco Rodriguez,,0,0,4.54,0,1,0,1,1,1,0,1,0,1.39,7.87,3.45,4.57,0,0,999,1642
Sam LeCure,,0,0,4.54,0,1,0,1,1,1,0,1,0,1.4,7.23,3.24,4.57,0,0,999,4664
Cory Mazzoni,,0,0,4.52,0,1,0,1,1,1,0,1,0,1.39,7.79,3.47,4.57,0,0,999,12537
Kameron Loe,,0,0,4.56,0,0,0,1,1,1,0,1,0,1.45,6.08,3.18,4.57,0,0,999,4422
Matt Marksberry,Diamondbacks,0,0,4.49,0,1,0,1,1,0,0,1,0,1.45,8.45,4.36,4.57,0,0,999,15089
Brad Keller,Royals,5,5,4.58,28,0,0,1,1,1,0,1,0,1.45,6.38,3.56,4.57,0,0,483.5,15734
Tim Cooney,,0,0,4.52,0,0,0,1,1,1,0,1,0,1.38,7.9,3.3,4.57,0,0,999,13762
Joe Ross,Nationals,2,2,4.62,10,0,0,1,1,1,0,1,0,1.35,7.29,2.74,4.57,0,0,509.8,12972
Tyler Warmoth,,0,0,4.5,0,1,0,1,1,0,0,1,0,1.42,8.1,3.9,4.57,0,0,999,sa919526
A.J. Morris,,0,0,4.56,0,1,0,1,1,1,0,1,0,1.44,7.29,3.58,4.57,0,0,999,9919
Tyler Clippard,Indians,0,0,4.42,0,1,0,1,1,0,0,1,0,1.3,9.5,3.72,4.57,0,0,597.8,5640
Josh Graham,Braves,0,0,4.44,0,1,0,1,1,0,0,1,1,1.52,8.32,4.97,4.57,0,0,999,sa658525
Franklin Van Gurp,Giants,0,0,4.39,0,1,0,1,1,0,0,1,1,1.48,8.77,5.14,4.58,0,-0.1,999,sa3004709
Chasen Bradford,Mariners,2,2,4.55,0,40,0,40,43,20,6,29,13,1.39,6.58,2.87,4.58,-0.1,-0.2,999,12452
Fred Schlichtholz,Padres,0,0,4.34,0,1,0,1,1,0,0,1,0,1.47,7.83,4.37,4.58,0,-0.1,999,sa3004455
Zach Davies,Brewers,5,5,4.64,28,0,0,1,1,1,0,1,0,1.41,6.78,2.93,4.58,0,0,584.3,13183
Rob Kaminsky,Indians,0,0,4.31,0,1,0,1,1,0,0,1,0,1.47,7.27,4.21,4.58,0,0,999,sa737532
Jerry Keel,Padres,0,0,4.38,0,0,0,1,1,0,0,1,0,1.42,6.37,3.29,4.58,0,0,999,sa856543
Dailyn Martinez,Cardinals,0,0,4.51,0,1,0,1,1,1,0,1,0,1.45,6.9,3.63,4.58,0,-0.1,999,sa658075
Ryan Bollinger,Padres,0,0,4.49,0,0,0,1,1,0,0,1,0,1.4,7.08,3.25,4.58,0,0,999,sa503763
Dan Runzler,Red Sox,0,0,4.39,0,1,0,1,1,0,0,1,1,1.48,8.1,4.61,4.58,0,0,999,4080
Kevin Chapman,,0,0,4.4,0,1,0,1,1,0,0,1,0,1.44,8.13,4.22,4.58,0,0,999,11240
Kolton Mahoney,Marlins,0,0,4.53,0,0,0,1,1,1,0,1,0,1.41,6.11,3.06,4.58,0,0,999,sa829372
Eric Carter,Dodgers,0,0,4.39,0,1,0,1,1,0,0,1,0,1.36,8.28,3.71,4.58,0,-0.1,999,sa918629
Jeff Johnson,Indians,0,0,4.4,0,1,0,1,1,0,0,1,1,1.46,8.68,4.7,4.58,0,0,999,sa598064
Justin Marks,,0,0,4.35,0,1,0,1,1,0,0,1,0,1.41,8.22,4.02,4.58,0,0,999,10265
Edwin Fierro,,0,0,4.57,0,0,0,1,1,1,0,1,0,1.43,6.66,3.26,4.58,0,0,999,sa652170
Nestor Molina,Giants,0,0,4.47,0,0,0,1,1,0,0,1,0,1.41,6.2,3.29,4.58,0,0,999,sa503616
Nick Greenwood,,0,0,4.44,0,1,0,1,1,0,0,1,0,1.37,6.07,2.54,4.58,0,0,999,8182
Lisalverto Bonilla,,0,0,4.55,0,1,0,1,1,1,0,1,0,1.42,7.69,3.75,4.58,0,0,999,11266
Jason Creasy,Braves,0,0,4.56,0,1,0,1,1,1,0,1,0,1.42,8,3.81,4.59,0,0,999,sa598099
Eric Alonzo,,0,0,4.52,0,1,0,1,1,1,0,1,0,1.41,7.74,3.61,4.59,0,0,999,sa829845
Neal Cotts,,0,0,4.41,0,1,0,1,1,0,0,1,0,1.38,8.3,3.74,4.59,0,0,999,1797
Jared Lakind,,0,0,4.33,0,1,0,1,1,0,0,1,0,1.46,7.92,4.41,4.59,0,0,999,sa549657
Ryan Chaffee,,0,0,4.52,0,1,0,1,1,1,0,1,0,1.46,7.83,4.12,4.59,0,0,999,sa454506
Yohan Flande,Rockies,0,0,4.65,0,1,0,1,1,1,0,1,0,1.49,6,3.16,4.59,0,0,999,5057
Dietrich Enns,Padres,0,0,4.36,0,1,0,1,1,0,0,1,0,1.38,7.44,3.46,4.59,0,-0.1,999,13932
Kyle Finnegan,Athletics,0,0,4.48,0,1,0,1,1,0,0,1,0,1.48,7.6,4.34,4.59,0,0,999,sa708446
Mark Leiter,Blue Jays,0,0,4.63,0,1,0,1,1,1,0,1,0,1.38,7.84,3.26,4.59,0,0,999,15551
Braden Shipley,Diamondbacks,0,0,4.68,0,1,0,1,1,1,0,1,0,1.41,7.43,3.37,4.59,0,0,999,15158
Travis Lakins,Red Sox,1,0,4.52,0,10,0,10,10,5,1,9,4,1.41,8.01,3.88,4.59,0,0.1,999,sa873678
Trey Nielsen,Cardinals,0,0,4.57,0,1,0,1,1,1,0,1,0,1.42,6.84,3.31,4.59,0,-0.1,999,sa550155
John Curtiss,Angels,1,1,4.31,0,15,0,15,13,7,2,15,7,1.39,9.09,4.49,4.59,0,0,999,16128
Shae Simmons,,0,0,4.43,0,1,0,1,1,0,0,1,1,1.51,8.51,5.02,4.59,0,0,999,14200
Blake Perry,,0,0,4.49,0,1,0,1,1,0,0,1,0,1.43,8.4,4.21,4.59,0,0,999,sa548326
Yoervis Medina,,0,0,4.55,0,1,0,1,1,1,0,1,0,1.47,7.53,4.04,4.59,0,0,999,10498
Kent Emanuel,Astros,0,0,4.48,0,0,0,1,1,0,0,1,0,1.39,7.04,3.14,4.6,0,0,999,sa549399
Matthew Tracy,,0,0,4.44,0,1,0,1,1,0,0,1,0,1.43,7.07,3.57,4.6,0,0,999,12240
Mike Minor,Rangers,6,5,4.59,29,0,0,1,1,1,0,1,0,1.33,8.05,2.86,4.6,0,0,376.1,10021
Yuhei Nakaushiro,,0,0,4.38,0,1,0,1,1,0,0,1,0,1.46,8.06,4.35,4.6,0,0,999,sa653446
Edwin Escobar,,0,0,4.45,0,1,0,1,1,0,0,1,0,1.4,7.8,3.65,4.6,0,0,999,10337
Liarvis Breto,Tigers,0,0,4.6,0,0,0,1,1,1,0,1,0,1.42,7.41,3.4,4.6,0,0,999,sa656021
Corey Littrell,Cardinals,0,0,4.33,0,1,0,1,1,0,0,1,0,1.47,7.8,4.49,4.6,0,-0.1,999,sa550166
Dario Beltre,Angels,0,0,4.34,0,1,0,1,1,0,0,1,1,1.46,8.16,4.59,4.6,0,0,999,sa550679
Dillon Gee,,0,0,4.55,0,1,0,1,1,1,0,1,0,1.33,7.35,2.66,4.6,0,0,999,7396
Arturo Reyes,,0,0,4.52,0,1,0,1,1,1,0,1,0,1.4,7.65,3.56,4.61,0,0,999,sa739006
Tyler Bray,,0,0,4.45,0,1,0,1,1,0,0,1,0,1.48,7.52,4.32,4.61,0,0,999,sa829423
Aroni Nina,,0,0,4.5,0,1,0,1,1,0,0,1,0,1.45,8.04,4.19,4.61,0,0,999,sa506381
Jesus Castillo,Angels,1,1,4.36,0,25,0,25,26,12,4,19,8,1.35,6.72,2.91,4.61,-0.1,0,999,sa657701
Scott Kazmir,,0,0,4.56,0,0,0,1,1,1,0,1,0,1.39,7.85,3.5,4.61,0,0,999,4897
A.J. Cole,Indians,0,0,4.53,0,1,0,1,1,1,0,1,0,1.35,8.5,3.46,4.61,0,0,999,11467
Roel Ramirez,Cardinals,0,0,4.5,0,1,0,1,1,1,0,1,0,1.41,7.81,3.8,4.61,0,-0.1,999,sa737902
Taylor Jungmann,,0,0,4.55,0,1,0,1,1,1,0,1,0,1.44,8.11,4.15,4.61,0,0,999,13119
Curtis Taylor,Rays,0,0,4.41,0,1,0,1,1,0,0,1,0,1.38,8.83,4.18,4.61,0,0,999,sa917970
Andrew Thome,,0,0,4.44,0,1,0,1,1,0,0,1,0,1.51,6.29,4,4.61,0,0,999,sa827462
Santiago Casilla,,0,0,4.58,0,1,0,1,1,1,0,1,0,1.44,8.08,4.09,4.61,0,0,999,2873
Luke Westphal,,0,0,4.36,0,1,0,1,1,0,0,1,1,1.52,8.65,5.21,4.61,0,0,999,sa869541
Glenn Sparkman,Royals,2,2,4.62,3,23,0,38,41,20,6,26,10,1.35,6.21,2.42,4.61,0,0.1,999,15200
Chris Castellanos,,0,0,4.44,0,1,0,1,1,0,0,1,0,1.44,8.14,4.16,4.61,0,0,999,sa3004228
Dustin Beggs,Marlins,0,0,4.58,0,0,0,1,1,1,0,1,0,1.38,6.5,2.86,4.61,0,0,999,sa829242
Brandon McCarthy,,0,0,4.68,0,0,0,1,1,1,0,1,0,1.39,7.17,2.97,4.62,0,0,999,4662
Ryan Webb,,0,0,4.6,0,1,0,1,1,1,0,1,0,1.47,6.45,3.59,4.62,0,0,999,7474
Wade Miley,Astros,4,3,4.54,19,0,0,1,1,1,0,1,0,1.44,6.84,3.41,4.62,0,0,441.1,8779
Harold Arauz,Cardinals,0,0,4.6,0,0,0,1,1,1,0,1,0,1.41,6.76,3.19,4.62,0,0,999,sa657710
Nathan Karns,Orioles,3,3,4.73,16,0,0,1,1,1,0,1,0,1.38,8.59,3.38,4.62,0,0,590.7,12638
Trevor Frank,,0,0,4.54,0,1,0,1,1,1,0,1,0,1.36,7.87,3.24,4.62,0,0,999,sa737842
Manny Parra,,0,0,4.47,0,1,0,1,1,0,0,1,0,1.47,7.66,4.16,4.62,0,0,999,4279
Daniel Gibson,Diamondbacks,0,0,4.55,0,1,0,1,1,1,0,1,1,1.5,8.01,4.52,4.62,0,0,999,sa549733
Henry Martinez,Indians,0,0,4.47,0,1,0,1,1,0,0,1,0,1.41,7.66,3.73,4.62,0,0,999,sa828216
Chris Jones,,0,0,4.54,0,0,0,1,1,1,0,1,0,1.44,6.38,3.27,4.62,0,0,999,sa392067
Ryan Beckman,,0,0,4.53,0,1,0,1,1,1,0,1,0,1.48,7.84,4.4,4.62,0,0,999,sa501977
Simon Mercedes,Red Sox,0,0,4.53,0,1,0,1,1,1,0,1,0,1.5,7.51,4.48,4.62,0,0,999,sa701535
Duncan Robinson,Cubs,0,0,4.63,0,0,0,1,1,1,0,1,0,1.37,6.67,2.69,4.62,0,0,999,sa874105
Preston Guilmet,Twins,0,0,4.61,0,1,0,1,1,1,0,1,0,1.35,7.9,3.04,4.62,0,0,999,7303
Ryan Yarbrough,Rays,6,6,4.46,16,36,0,110,112,55,16,89,40,1.38,7.22,3.3,4.62,0.6,0.7,469,16502
Matt Swarmer,Cubs,0,0,4.57,0,0,0,1,1,1,0,1,0,1.31,7.64,2.7,4.62,0,0,999,sa918458
Yeudy Garcia,Pirates,0,0,4.59,0,1,0,1,1,1,0,1,1,1.51,8.62,4.91,4.62,0,-0.1,999,sa828169
Clayton Blackburn,,0,0,4.64,0,0,0,1,1,1,0,1,0,1.39,6.97,3.01,4.63,0,0,999,sa598302
Paolo Espino,,0,0,4.63,0,1,0,1,1,1,0,1,0,1.35,7.58,2.86,4.63,0,0,999,8246
Frankie Montas,Athletics,7,7,4.68,19,29,0,124,129,65,17,98,47,1.42,7.13,3.41,4.63,0.6,0.6,599.7,14309
Conner Menez,Giants,0,0,4.33,0,0,0,1,1,0,0,1,1,1.44,8.1,4.56,4.63,0,0,999,sa918322
Travis Hissong,,0,0,4.54,0,1,0,1,1,1,0,1,0,1.41,8.25,3.91,4.63,0,0,999,sa830119
Forrest Whitley,Astros,2,1,4.59,8,0,0,1,1,1,0,1,0,1.38,8.95,3.93,4.63,0,0,239.5,sa917930
Jefry Rodriguez,Indians,0,0,4.44,0,10,0,10,10,5,1,9,5,1.44,8.33,4.41,4.63,0,0.1,999,17018
Nick Wittgren,Indians,0,0,4.54,0,10,0,10,10,5,2,9,4,1.37,7.76,3.29,4.63,0,0.1,999,15594
Ryan Merritt,Rays,0,0,4.46,0,0,0,1,1,0,0,1,0,1.31,5.81,2.04,4.63,0,0,999,13688
Aaron Brooks,,0,0,4.59,0,1,0,1,1,1,0,1,0,1.44,7.28,3.66,4.63,0,0,999,sa658663
Jon Olczak,Brewers,0,0,4.59,0,1,0,1,1,1,0,1,0,1.4,8.71,3.93,4.63,0,0,999,sa875297
CC Sabathia,Yankees,4,3,4.55,21,0,0,1,1,1,0,1,0,1.37,7.66,3.07,4.63,0,0,464,404
Michael Mariot,,0,0,4.59,0,1,0,1,1,1,0,1,0,1.38,8.48,3.67,4.63,0,0,999,10835
Tyler Mark,Diamondbacks,0,0,4.59,0,1,0,1,1,1,0,1,0,1.46,8.21,4.42,4.63,0,0,999,sa875058
Zack Brown,Brewers,0,0,4.65,0,0,0,1,1,1,0,1,0,1.43,7.35,3.48,4.63,0,0,999,sa738901
Aaron Wilkerson,Brewers,1,2,4.62,2,22,0,29,29,15,5,26,9,1.32,8.14,2.85,4.63,0,0,999,16904
